id,name_short,name,sex,birth,position,education,subject,party,religion,kids,twitter,facebook,youtube,instagram,type
fb,Brantner,Franziska Brantner,weiblich,1979,1,2,1,gruene,,1,14.037,2747,26,4478,0
mt,Theurer,Michael Theurer,männlich,1967,1,1,4,fdp,1,2,8477,27913,,3745,0
tl,Lindner,Tobias Lindner,maennlich,1982,2,2,4,gruene,,,10500,4920,,3607,0
rs,Schwarzeluehr-Sutter,Rita Schwarzeluehr-Sutter,weiblich,1962,1,1,4,spd,2,2,4250,2941,,1535,0
co,Oezdemir,Cem Oezdemir,maennlich,1965,2,1,3,gruene,,2,317191,162573,,105000,0
ft,Toncar,Florian Toncar,maennlich,1979,1,2,2,fdp,1,3,8587,4478,99,3071,0
bs,Strasser,Benjamin Strasser,maennlich,1987,1,3,2,fdp,2,,5811,3372,287,3930,0
jb,Brandenburg,Jens Brandenburg,maennlich,1986,1,2,3,fdp,,,5406,,,3329,0
ck,Kuehn,Christian Kuehn,maennlich,1979,1,4,1,gruene,1,3,4786,97,35,1663,0
eu,,Europa-Union,,,,,,,,,,,,,1
aag,,Ausschuss für auswaertige Angelegenheiten,,,,,,,,,,,,,1
hbs,,Heinrich-Boell-Stiftung,,,,,,,,,,,,,1
av,,Ausschuss fuer Verkehr und digitale Infrastruktur,,,,,,,,,,,,,1
bfdp,,Bundesvorstand FDP,,,,,,,,,,,,,1
efa,,EU-Parlament Fraktion Grüne/EFA,,,,,,,,,,,,,1
afsj,,"Ausschuss fuer Familien, Senioren, Frauen und Jugend",,,,,,,,,,,,,1
um,,Uni Mannheim,,,,,,,,,,,,,1
eha,,Europaeischer Haushaltsausschuss,,,,,,,,,,,,,1
juli,,Junge Liberale,,,,,,,,,,,,,1
fdp,,FDP-Bundestagsfraktion,,,,,,,,,,,,,1
gsf,,Gesellschaft zum Studium strukturpolitischer Fragen,,,,,,,,,,,,,1
ha,,Haushaltsausschuss,,,,,,,,,,,,,1
kw,,Kreditanstalt fuer Wiederaufbau,,,,,,,,,,,,,1
lfdp,,Landesvorstand FDP,,,,,,,,,,,,,1
bum,,Bundesumweltministerium,,,,,,,,,,,,,1
aa,,Auswaertiger Ausschuss,,,,,,,,,,,,,1
lg,,Landesvorstand Gruene,,,,,,,,,,,,,1
sefep,,Smart Energy for Europe Platform GmbH,,,,,,,,,,,,,1
ths,,Theodor-Heuss-Stiftung,,,,,,,,,,,,,1
ua,,Untersuchungsausschuss,,,,,,,,,,,,,1
awe,,Ausschuss für Wirtschaft und Energie,,,,,,,,,,,,,1
ut,,Uni Tuebingen,,,,,,,,,,,,,1
bg,,Bundesvorstand Gruene,,,,,,,,,,,,,1
